city,link,name,location,eventName
belo-horizonte-mg,https://www.sympla.com.br/workshop-canvas-pessoal-o-seu-modelo-de-negocios__115159,Ralf Martins,sympla,Workshop CANVAS Pessoal: O SEU modelo de negócios
belo-horizonte-mg,https://www.sympla.com.br/gestao-de-midias-sociais---belo-horizonte__108188,GREEKy Cursos,sympla,Gestão de mídias sociais - Belo Horizonte
belo-horizonte-mg,https://www.sympla.com.br/saudades-do-nordeste__116648,Deserto Elétrico Produções,sympla,Saudades do Nordeste! 
belo-horizonte-mg,https://www.sympla.com.br/aula-aberta-idee---pitch__116817,IDEE,sympla,Aula Aberta IDEE - Pitch
belo-horizonte-mg,https://www.sympla.com.br/product-mobile-course---bh__117601,CraftProduct.io,sympla,Product Mobile Course - BH
belo-horizonte-mg,https://www.sympla.com.br/workshop-de-loiros-por-elaine-santos__116963,Pura Beleza Distribuidora ,sympla,Workshop de Loiros por Elaine Santos
belo-horizonte-mg,https://www.sympla.com.br/park-paintball__117719,Park Paintball,sympla,Park Paintball
belo-horizonte-mg,https://www.sympla.com.br/park-paintball__117723,Park Paintball,sympla,Park Paintball
belo-horizonte-mg,https://www.sympla.com.br/park-paintball__117720,Park Paintball,sympla,Park Paintball
belo-horizonte-mg,https://www.sympla.com.br/park-paintball__117708,Park Paintball,sympla,Park Paintball
belo-horizonte-mg,https://www.sympla.com.br/i-encontro-nacional-de-mulheres-empreendedoras--maos-que-transformam__116304,Danielle Neves- Empreendendo no lar doce lar,sympla,I Encontro Nacional de Mulheres Empreendedoras- Mãos que transformam
belo-horizonte-mg,https://www.sympla.com.br/palestra-o-que-e-o-tantra__113776,Centro Budista Kadampa Maitreya,sympla,Palestra O que é o Tantra
belo-horizonte-mg,https://www.sympla.com.br/lift-summit-i__117107,IDEE,sympla,Lift Summit I
belo-horizonte-mg,https://www.sympla.com.br/i-simposio-de-cuidados-paliativos__106017,Liga Acadêmica de Cuidados Paliativos da PUC Minas - PALLIUM,sympla,I SIMPÓSIO DE CUIDADOS PALIATIVOS
belo-horizonte-mg,https://www.sympla.com.br/e-hora-de-encarar-o-mercado__113511,Pessoas de Negócios,sympla,É hora de encarar o mercado
belo-horizonte-mg,https://www.sympla.com.br/park-paintball__118072,Park Paintball,sympla,Park Paintball
belo-horizonte-mg,https://www.sympla.com.br/park-paintball__118070,Park Paintball,sympla,Park Paintball
belo-horizonte-mg,https://www.sympla.com.br/park-paintball__118074,Park Paintball,sympla,Park Paintball
belo-horizonte-mg,https://www.sympla.com.br/park-paintball__118080,Park Paintball,sympla,Park Paintball
belo-horizonte-mg,https://www.sympla.com.br/park-paintball__117780,Park Paintball,sympla,Park Paintball
belo-horizonte-mg,https://www.sympla.com.br/park-paintball__117797,Park Paintball,sympla,Park Paintball
belo-horizonte-mg,https://www.sympla.com.br/park-paintball__117798,Park Paintball,sympla,Park Paintball
belo-horizonte-mg,https://www.sympla.com.br/park-paintball__118065,Park Paintball,sympla,Park Paintball
belo-horizonte-mg,https://www.sympla.com.br/park-paintball__117819,Park Paintball,sympla,Park Paintball
belo-horizonte-mg,https://www.sympla.com.br/park-paintball__117823,Park Paintball,sympla,Park Paintball
belo-horizonte-mg,https://www.sympla.com.br/park-paintball__118064,Park Paintball,sympla,Park Paintball
belo-horizonte-mg,https://www.sympla.com.br/park-paintball__117800,Park Paintball,sympla,Park Paintball
belo-horizonte-mg,https://www.sympla.com.br/curso-de-formacao-sobre-o-metodo-panlexia-plus__109648,Aprendizagem e Companhia,sympla,CURSO DE FORMAÇÃO SOBRE O MÉTODO PANLEXIA PLUS
belo-horizonte-mg,https://www.sympla.com.br/carna-vulva__116033,Coletiva Vulva,sympla,Carna Vulva
belo-horizonte-mg,https://www.sympla.com.br/qua--back-in-jack-seu-madruga-acdc--uai-horses-stones__117455,Circuito do Rock,sympla,QUA | BACK IN JACK! SEU MADRUGA (AC/DC) + UAI HORSES (STONES)
belo-horizonte-mg,https://www.sympla.com.br/fitness-news__114042,Bruno ScoTT,sympla,Fitness News
belo-horizonte-mg,https://www.sympla.com.br/comportamento--negocios---j1w__117918,Estímulo de Ideias,sympla,Comportamento & Negócios - J1W
