city,link,name,location,eventName
sao-paulo-sp,https://www.sympla.com.br/perspectivas-2017-o-o-brasil-e-o-mundo-analisados-pela-astrologia-mundial__111839,Gaia Escola de Astrologia,sympla,PERSPECTIVAS 2017 • O BRASIL E O MUNDO ANALISADOS PELA ASTROLOGIA MUNDIAL
sao-paulo-sp,https://www.sympla.com.br/megatendencias-e-desenvolvimento-de-cenarios-futuros__115541,ANPEI | Educanpei ,sympla,MEGATENDÊNCIAS E DESENVOLVIMENTO DE CENÁRIOS FUTUROS 
sao-paulo-sp,https://www.sympla.com.br/redacao-de-patentes__115551,ANPEI | Educanpei ,sympla,REDAÇÃO DE PATENTES 
sao-paulo-sp,https://www.sympla.com.br/esgrima-gratis-no-parque-do-povo__115586,Gil Louro,sympla,ESGRIMA Grátis no Parque do Povo
sao-paulo-sp,https://www.sympla.com.br/palestra-as-melhores-tecnicas-e-ferramentas-para-a-analise-e-viabilizacao-de-projetos__115686,Cubo do Conhecimento,sympla,Palestra "As melhores técnicas e ferramentas para a análise e viabilização de projetos"
sao-paulo-sp,https://www.sympla.com.br/ecmmeeting-csc-centros-de-servicos-compartilhados__115718,INSTITUTO INFORMATION MANAGEMENT,sympla,ECMMEETING CSC CENTROS DE SERVIÇOS COMPARTILHADOS
sao-paulo-sp,https://www.sympla.com.br/programa-essencial---modulo-3-facilitacao-de-metodologias-participativas__115902,Inscrição,sympla,Programa Essencial - Módulo 3: Facilitação de Metodologias Participativas
sao-paulo-sp,https://www.sympla.com.br/cluster-o-103-c-florian-msk-zenon-records---canada__115909,Cluster,sympla,Cluster • 10.3 c/ Florian MSK (Zenon Records - Canadá)
sao-paulo-sp,https://www.sympla.com.br/pricing---estrategias-de-precificacao__115937,Propagar Training,sympla,PRICING - Estratégias de Precificação
sao-paulo-sp,https://www.sympla.com.br/indicadores-financeiros-aplicados-a-gestao-empresarial__115932,Propagar Training,sympla,Indicadores Financeiros Aplicados à Gestão Empresarial
sao-paulo-sp,https://www.sympla.com.br/festival-40-anos-de-punk---parte-1__116012,FEIO RECORDS,sympla,FESTIVAL 40 ANOS DE PUNK - Parte 1
sao-paulo-sp,https://www.sympla.com.br/aula-experimental-de-jiu-jitsu---horario-do-almoco-12h__115965,O-DGI,sympla,AULA EXPERIMENTAL DE JIU-JITSU - HORÁRIO DO ALMOÇO (12h).
sao-paulo-sp,https://www.sympla.com.br/quanto-custa-uma-estrategia-eficaz-de-marketing-digital-para-uma-startup__115182,NoTopo Consultoria Digital,sympla,Quanto custa uma estratégia eficaz de Marketing Digital para uma Startup?
sao-paulo-sp,https://www.sympla.com.br/startup-farm-day---woman__113779,Startup Farm,sympla,Startup Farm Day - Woman
sao-paulo-sp,https://www.sympla.com.br/sxsw2017---encontro-pre-evento__116890,Cubo Netwok ,sympla,SXSW2017 - Encontro Pré-Evento
sao-paulo-sp,https://www.sympla.com.br/open-chopp---tap-folia__116899,Juliana Preto,sympla,OPEN CHOPP - TAP FOLIA
sao-paulo-sp,https://www.sympla.com.br/como-economizar-impostos-e-reduzir-seus-custos__114201,Vittude Tecnologia,sympla,Como economizar impostos e reduzir seus custos
sao-paulo-sp,https://www.sympla.com.br/workshop-do-jogo-da-transformacao---como-superar-a-crise-atual__114060,Patrícia Stanquevisch,sympla,Workshop do Jogo da Transformação - Como superar a crise atual.
sao-paulo-sp,https://www.sympla.com.br/constelacao-sistemica-para-mulheres__116449,Déborah Marchesin,sympla,Constelação Sistêmica para mulheres
sao-paulo-sp,https://www.sympla.com.br/autoconhecimento-autoestima-e-automaquiagem__117045,Charlene Portela,sympla,Autoconhecimento, autoestima e automaquiagem
sao-paulo-sp,https://www.sympla.com.br/geek-out---open-bar-especial-how-i-met-your-mother__113837,Marcos Paiola ,sympla,Geek Out - Open bar especial How I met Your mother
sao-paulo-sp,https://www.sympla.com.br/workshop-express---10-passos-para-manter-seu-foco-em-2017-com-pnl-e-outras-letrinhas__110823,Supply Consultoria Empresarial,sympla,Workshop express - 10 passos para manter seu foco em 2017 com PNL e outras letrinhas
sao-paulo-sp,https://www.sympla.com.br/implantacao-de-solucoes-de-startups-nas-industrias__116685,Rafael Menezes,sympla,Implantação de soluções de startups nas Industrias 
sao-paulo-sp,https://www.sympla.com.br/fintechs-sao-bancos-impactos-implicacoes-legais-e-tendencias-regulatorias__113752,Patricia Peck Pinheiro Treinamentos, desenvolvimento e consultoria Ltda,sympla,Fintechs são Bancos? Impactos, implicações legais e tendências regulatórias
sao-paulo-sp,https://www.sympla.com.br/curso-agile-coaching__116924,Agile Trends,sympla,Curso Agile Coaching
sao-paulo-sp,https://www.sympla.com.br/workshop-agile-lego-challenge__117099,Agile Trends,sympla,Workshop Agile Lego Challenge
sao-paulo-sp,https://www.sympla.com.br/festa-javali---edicao-especial-de-carnaval---bloco-chega-mais__116967,emmanuel souto vilar,sympla,FESTA JAVALI - EDIÇÃO ESPECIAL DE CARNAVAL - BLOCO CHEGA MAIS
sao-paulo-sp,https://www.sympla.com.br/converse-bem--------------------------------------------11-exercicios-para-construir-entendimentos__117222,Saber em Ação - Espaço de Desenvolvimento Pessoal e Mediação de Conflitos,sympla,Converse Bem!                                            11 exercícios para construir entendimentos.
sao-paulo-sp,https://www.sympla.com.br/treinamento-kanban__117232,Agile Trends,sympla,Treinamento Kanban
sao-paulo-sp,https://www.sympla.com.br/geek-out---open-bar-especial-how-i-met-your-mother__117271,Marcos Paiola ,sympla,Geek Out - Open bar especial How I met Your mother
